Designator,Mid X,Mid Y,Rotation,Layer
C1,68.15,-136.45,270.0,top
C2,97.95,-91.7125,270.0,top
C3,104.65,-91.7125,90.0,top
C4,92.0,-133.5,270.0,top
C5,92.0,-138.625,90.0,top
C6,108.3,-133.5,270.0,top
C7,108.3,-138.625,90.0,top
C8,124.55,-133.475,270.0,top
C9,124.55,-138.625,90.0,top
Q1,137.0,-130.9,0.0,top
Q2,142.4,-130.9,0.0,top
Q3,147.85,-130.9,0.0,top
R2,133.65,-134.35,180.0,top
R4,133.65,-129.6,180.0,top
R5,133.65,-131.95,0.0,top
U1,101.25,-91.65,270.0,top
U4,86.175,-136.0625,180.0,top
U5,102.375,-136.0625,180.0,top
U6,118.625,-136.0625,180.0,top
